Person ID,First name,Last name,Party,Constituency,URI
11221,Jim,Sheridan,Labour,Paisley and Renfrewshire North,http://www.theyworkforyou.com/mp/jim_sheridan/paisley_and_renfrewshire_north
24847,Gavin,Shuker,Labour,Luton South,http://www.theyworkforyou.com/mp/gavin_shuker/luton_south
11224,Mark,Simmonds,Conservative,Boston and Skegness,http://www.theyworkforyou.com/mp/mark_simmonds/boston_and_skegness
11892,David,Simpson,DUP,Upper Bann,http://www.theyworkforyou.com/mp/david_simpson/upper_bann
10542,Keith,Simpson,Conservative,Broadland,http://www.theyworkforyou.com/mp/keith_simpson/broadland
10543,Marsha,Singh,Labour,Bradford West,http://www.theyworkforyou.com/mp/marsha_singh/bradford_west
24713,Chris,Skidmore,Conservative,Kingswood,http://www.theyworkforyou.com/mp/chris_skidmore/kingswood
10544,Dennis,Skinner,Labour,Bolsover,http://www.theyworkforyou.com/mp/dennis_skinner/bolsover
11559,Andy,Slaughter,Labour,Hammersmith,http://www.theyworkforyou.com/mp/andy_slaughter/hammersmith
10545,Andrew,Smith,Labour,Oxford East,http://www.theyworkforyou.com/mp/andrew_smith/oxford_east
11814,Angela,Smith,Labour,Penistone and Stocksbridge,http://www.theyworkforyou.com/mp/angela_smith/penistone_and_stocksbridge
24691,Chloe,Smith,Conservative,Norwich North,http://www.theyworkforyou.com/mp/chloe_smith/norwich_north
24802,Henry,Smith,Conservative,Crawley,http://www.theyworkforyou.com/mp/henry_smith/crawley
24961,Julian,Smith,Conservative,Skipton and Ripon,http://www.theyworkforyou.com/mp/julian_smith/skipton_and_ripon
24728,Nick,Smith,Labour,Blaenau Gwent,http://www.theyworkforyou.com/mp/nick_smith/blaenau_gwent
24797,Owen,Smith,Labour,Pontypridd,http://www.theyworkforyou.com/mp/owen_smith/pontypridd
10552,Robert,Smith,Liberal Democrat,West Aberdeenshire and Kincardine,http://www.theyworkforyou.com/mp/robert_smith/west_aberdeenshire_and_kincardine
10555,Nicholas,Soames,Conservative,Mid Sussex,http://www.theyworkforyou.com/mp/nicholas_soames/mid_sussex
24772,Anna,Soubry,Conservative,Broxtowe,http://www.theyworkforyou.com/mp/anna_soubry/broxtowe
11675,Peter,Soulsby,Labour,Leicester South,http://www.theyworkforyou.com/mp/peter_soulsby/leicester_south
10558,John,Spellar,Labour,Warley,http://www.theyworkforyou.com/mp/john_spellar/warley
10559,Caroline,Spelman,Conservative,Meriden,http://www.theyworkforyou.com/mp/caroline_spelman/meriden
24909,Mark,Spencer,Conservative,Sherwood,http://www.theyworkforyou.com/mp/mark_spencer/sherwood
10563,John,Stanley,Conservative,Tonbridge and Malling,http://www.theyworkforyou.com/mp/john_stanley/tonbridge_and_malling
24759,Andrew,Stephenson,Conservative,Pendle,http://www.theyworkforyou.com/mp/andrew_stephenson/pendle
24799,John,Stevenson,Conservative,Carlisle,http://www.theyworkforyou.com/mp/john_stevenson/carlisle
